[0.0, 10.0, 17.0, 25.0, 40.0, 50.0, 47.0, 57.0, 37.0, 27.0]
[10.0, 0.0, 7.0, 15.0, 30.0, 40.0, 37.0, 47.0, 27.0, 17.0]
[17.0, 7.0, 0.0, 22.0, 37.0, 47.0, 44.0, 54.0, 34.0, 10.0]
[25.0, 15.0, 22.0, 0.0, 15.0, 25.0, 22.0, 32.0, 12.0, 32.0]
[40.0, 30.0, 37.0, 15.0, 0.0, 10.0, 7.0, 17.0, 27.0, 47.0]
[50.0, 40.0, 47.0, 25.0, 10.0, 0.0, 17.0, 27.0, 37.0, 57.0]
[47.0, 37.0, 44.0, 22.0, 7.0, 17.0, 0.0, 10.0, 34.0, 54.0]
[57.0, 47.0, 54.0, 32.0, 17.0, 27.0, 10.0, 0.0, 44.0, 64.0]
[37.0, 27.0, 34.0, 12.0, 27.0, 37.0, 34.0, 44.0, 0.0, 44.0]
[27.0, 17.0, 10.0, 32.0, 47.0, 57.0, 54.0, 64.0, 44.0, 0.0]
